instance_id,source_id,source_final_label,corruption_type,affected_modality,severity,formal_review_status,proposed_instance_decision,main_answerability,post_corruption_answerability,cross_modal_recoverability,corruption_effect,corruption_relevance,oracle_abstain,oracle_preferred_route,oracle_acceptable_routes,annotation_confidence,current_review_status,current_risk_sensitive,review_issues,recommended_human_action,question,gold_answer
src_003__音频轻度加噪,src_003,video_only,audio_noise,audio,mild,headline_candidate_after_review,accept_after_review,answerable,answerable,recoverable,confidence_drop,answer_relevant,False,"[""video""]","[[""video""], [""audio""], [""audio"", ""video""]]",high,needs_human_review,True,[],"人工复看媒体和路线；若同意当前字段，则设 review_status=reviewed, risk_sensitive=false, instance_decision=accept。",What is the source of the sound in the video?,Birdsong
src_003__音频重度加噪,src_003,video_only,audio_noise,audio,severe,headline_candidate_after_review,accept_after_review,answerable,answerable,unrecoverable,confidence_drop,answer_relevant,False,"[""video""]","[[""video""], [""audio"", ""video""]]",high,needs_human_review,True,[],"人工复看媒体和路线；若同意当前字段，则设 review_status=reviewed, risk_sensitive=false, instance_decision=accept。",What is the source of the sound in the video?,Birdsong
src_004__视频轻度模糊,src_004,video_only,video_blur,video,mild,headline_candidate_after_review,accept_after_review,answerable,answerable,not_needed,confidence_drop,answer_relevant,False,"[""video""]","[[""video""], [""audio"", ""video""]]",high,needs_human_review,True,[],"人工复看媒体和路线；若同意当前字段，则设 review_status=reviewed, risk_sensitive=false, instance_decision=accept。",What are the people doing in the video?,Bowling
src_004__视频重度遮挡,src_004,video_only,video_occlusion,video,severe,headline_candidate_after_review,accept_after_review,answerable,answerable,unrecoverable,confidence_drop,answer_relevant,False,"[""video""]","[[""video""], [""audio"", ""video""]]",high,needs_human_review,True,[],"人工复看媒体和路线；若同意当前字段，则设 review_status=reviewed, risk_sensitive=false, instance_decision=accept。",What are the people doing in the video?,Bowling
src_004__音频重度加噪,src_004,video_only,audio_noise,audio,severe,headline_candidate_after_review,accept_after_review,answerable,answerable,not_needed,route_change_only,answer_irrelevant,False,"[""video""]","[[""video""], [""audio"", ""video""]]",high,needs_human_review,True,[],"人工复看媒体和路线；若同意当前字段，则设 review_status=reviewed, risk_sensitive=false, instance_decision=accept。",What are the people doing in the video?,Bowling
src_004__音频静音,src_004,video_only,audio_mute,audio,severe,headline_candidate_after_review,accept_after_review,answerable,answerable,unrecoverable,route_change_only,answer_irrelevant,False,"[""video""]","[[""video""], [""audio"", ""video""]]",high,needs_human_review,True,[],"人工复看媒体和路线；若同意当前字段，则设 review_status=reviewed, risk_sensitive=false, instance_decision=accept。",What are the people doing in the video?,Bowling
src_005__视频轻度模糊,src_005,audio_video_joint,video_blur,video,mild,needs_adjudication_oracle_route,adjudicate,answerable,answerable,recoverable,confidence_drop,answer_relevant,False,[],"[[""audio"", ""video""]]",high,needs_human_review,True,"[""answerable_non_abstain_empty_preferred_route""]",需要负责人裁决；若不能明确升级为 answerable/unanswerable 且路线清楚，则不进入主测评。,Is the first sound coming from the right instrument?,yes
src_005__视频重度遮挡,src_005,audio_video_joint,video_occlusion,video,severe,exclude_from_main,reject,exclude_from_main,unanswerable,unrecoverable,makes_unanswerable,answer_relevant,True,[],[],high,needs_human_review,True,"[""exclude_from_main""]",保留作定性分析或丢弃；正式 gold 中设 instance_decision=reject。,Is the first sound coming from the right instrument?,yes
src_005__音频轻度加噪,src_005,audio_video_joint,audio_noise,audio,mild,needs_adjudication_oracle_route,adjudicate,answerable,answerable,partially_recoverable,confidence_drop,answer_relevant,False,[],"[[""audio"", ""video""]]",high,needs_human_review,True,"[""answerable_non_abstain_empty_preferred_route""]",需要负责人裁决；若不能明确升级为 answerable/unanswerable 且路线清楚，则不进入主测评。,Is the first sound coming from the right instrument?,yes
src_005__音频重度加噪,src_005,audio_video_joint,audio_noise,audio,severe,exclude_from_main,reject,exclude_from_main,partially_answerable,unrecoverable,makes_unanswerable,answer_relevant,True,[],[],high,needs_human_review,True,"[""exclude_from_main""]",保留作定性分析或丢弃；正式 gold 中设 instance_decision=reject。,Is the first sound coming from the right instrument?,yes
src_006__视频轻度模糊,src_006,audio_video_joint,video_blur,video,mild,exclude_from_main,reject,exclude_from_main,unclear,unclear,confidence_drop,answer_relevant,False,[],"[[""audio"", ""video""]]",high,needs_human_review,True,"[""exclude_from_main""]",保留作定性分析或丢弃；正式 gold 中设 instance_decision=reject。,How many instruments in the video did not sound from beginning to end?,one
src_006__视频重度遮挡,src_006,audio_video_joint,video_occlusion,video,severe,headline_candidate_after_review,accept_after_review,unanswerable,unanswerable,unrecoverable,makes_unanswerable,answer_relevant,True,[],[],high,reviewed,True,[],"人工复看媒体和路线；若同意当前字段，则设 review_status=reviewed, risk_sensitive=false, instance_decision=accept。",How many instruments in the video did not sound from beginning to end?,one
src_006__音频重度加噪,src_006,audio_video_joint,audio_noise,audio,severe,needs_adjudication_oracle_route,adjudicate,answerable,partially_answerable,partially_recoverable,confidence_drop,answer_relevant,False,[],"[[""audio"", ""video""]]",high,needs_human_review,True,"[""answerable_non_abstain_empty_preferred_route""]",需要负责人裁决；若不能明确升级为 answerable/unanswerable 且路线清楚，则不进入主测评。,How many instruments in the video did not sound from beginning to end?,one
src_006__音频静音,src_006,audio_video_joint,audio_mute,audio,severe,exclude_from_main,reject,exclude_from_main,unanswerable,unrecoverable,makes_unanswerable,answer_relevant,True,[],[],high,needs_human_review,True,"[""exclude_from_main""]",保留作定性分析或丢弃；正式 gold 中设 instance_decision=reject。,How many instruments in the video did not sound from beginning to end?,one
src_007__视频轻度遮挡,src_007,video_only_control,video_occlusion,video,mild,needs_adjudication_partial,adjudicate,answerable,partially_answerable,unrecoverable,confidence_drop,answer_relevant,False,"[""video""]","[[""audio"", ""video""], [""video""]]",high,needs_human_review,True,"[""partial_answerability_or_recoverability""]",需要负责人裁决；若不能明确升级为 answerable/unanswerable 且路线清楚，则不进入主测评。,What animal appears in the video?,fish
src_007__视频重度模糊,src_007,video_only_control,video_blur,video,severe,exclude_from_main,reject,exclude_from_main,unanswerable,unrecoverable,makes_unanswerable,answer_relevant,True,[],[],high,needs_human_review,True,"[""exclude_from_main""]",保留作定性分析或丢弃；正式 gold 中设 instance_decision=reject。,What animal appears in the video?,fish
src_007__音频重度加噪,src_007,video_only_control,audio_noise,audio,severe,needs_adjudication_partial,adjudicate,answerable,answerable,partially_recoverable,no_effect,answer_irrelevant,False,"[""video""]","[[""audio"", ""video""], [""video""]]",high,needs_human_review,True,"[""partial_answerability_or_recoverability""]",需要负责人裁决；若不能明确升级为 answerable/unanswerable 且路线清楚，则不进入主测评。,What animal appears in the video?,fish
src_007__音频静音,src_007,video_only_control,audio_mute,audio,severe,headline_candidate_after_review,accept_after_review,answerable,answerable,unrecoverable,no_effect,answer_irrelevant,False,"[""video""]","[[""video""], [""audio"", ""video""]]",high,needs_human_review,True,[],"人工复看媒体和路线；若同意当前字段，则设 review_status=reviewed, risk_sensitive=false, instance_decision=accept。",What animal appears in the video?,fish
src_008__视频轻度模糊,src_008,video_only_control,video_blur,video,mild,needs_adjudication_partial,adjudicate,answerable,answerable,partially_recoverable,confidence_drop,answer_relevant,False,"[""video""]","[[""video""], [""audio"", ""video""]]",high,needs_human_review,True,"[""partial_answerability_or_recoverability""]",需要负责人裁决；若不能明确升级为 answerable/unanswerable 且路线清楚，则不进入主测评。,What numbers appear in the video?,twenty-seven
src_008__视频轻度遮挡,src_008,video_only_control,video_occlusion,video,mild,headline_candidate_after_review,accept_after_review,answerable,answerable,unrecoverable,confidence_drop,answer_relevant,False,"[""video""]","[[""video""], [""audio"", ""video""]]",high,needs_human_review,True,[],"人工复看媒体和路线；若同意当前字段，则设 review_status=reviewed, risk_sensitive=false, instance_decision=accept。",What numbers appear in the video?,twenty-seven
src_008__音频轻度加噪,src_008,video_only_control,audio_noise,audio,mild,needs_adjudication_partial,adjudicate,answerable,answerable,partially_recoverable,no_effect,answer_irrelevant,False,"[""video""]","[[""video""], [""audio"", ""video""]]",high,needs_human_review,True,"[""partial_answerability_or_recoverability""]",需要负责人裁决；若不能明确升级为 answerable/unanswerable 且路线清楚，则不进入主测评。,What numbers appear in the video?,twenty-seven
src_008__音频重度加噪,src_008,video_only_control,audio_noise,audio,severe,headline_candidate_after_review,accept_after_review,answerable,answerable,unrecoverable,no_effect,answer_irrelevant,False,"[""video""]","[[""video""], [""audio"", ""video""]]",high,needs_human_review,True,[],"人工复看媒体和路线；若同意当前字段，则设 review_status=reviewed, risk_sensitive=false, instance_decision=accept。",What numbers appear in the video?,twenty-seven
src_009__视频轻度模糊,src_009,audio_video_joint_conflict_candidate,video_blur,video,mild,needs_adjudication_partial,adjudicate,answerable,answerable,partially_recoverable,confidence_drop,answer_relevant,False,"[""video""]","[[""audio"", ""video""], [""video""]]",high,needs_human_review,True,"[""partial_answerability_or_recoverability""]",需要负责人裁决；若不能明确升级为 answerable/unanswerable 且路线清楚，则不进入主测评。,What is the source of the sound in the video?,a car
src_009__视频重度模糊,src_009,audio_video_joint_conflict_candidate,video_blur,video,severe,headline_candidate_after_review,accept_after_review,unanswerable,unanswerable,unrecoverable,makes_unanswerable,answer_relevant,True,[],[],high,needs_human_review,True,[],"人工复看媒体和路线；若同意当前字段，则设 review_status=reviewed, risk_sensitive=false, instance_decision=accept。",What is the source of the sound in the video?,a car
src_009__音频轻度加噪,src_009,audio_video_joint_conflict_candidate,audio_noise,audio,mild,needs_adjudication_partial,adjudicate,answerable,answerable,partially_recoverable,confidence_drop,answer_relevant,False,"[""video""]","[[""video""], [""audio"", ""video""]]",high,needs_human_review,True,"[""partial_answerability_or_recoverability""]",需要负责人裁决；若不能明确升级为 answerable/unanswerable 且路线清楚，则不进入主测评。,What is the source of the sound in the video?,a car
src_009__音频重度加噪,src_009,audio_video_joint_conflict_candidate,audio_noise,audio,severe,needs_adjudication_partial,adjudicate,answerable,partially_answerable,partially_recoverable,confidence_drop,answer_relevant,False,"[""video""]","[[""audio"", ""video""], [""video""]]",high,needs_human_review,True,"[""partial_answerability_or_recoverability""]",需要负责人裁决；若不能明确升级为 answerable/unanswerable 且路线清楚，则不进入主测评。,What is the source of the sound in the video?,a car
src_010__视频轻度模糊,src_010,audio_video_joint_conflict_candidate,video_blur,video,mild,headline_candidate_after_review,accept_after_review,answerable,answerable,recoverable,confidence_drop,answer_relevant,False,"[""audio""]","[[""audio""], [""audio"", ""video""]]",high,reviewed,True,[],"人工复看媒体和路线；若同意当前字段，则设 review_status=reviewed, risk_sensitive=false, instance_decision=accept。",What are the people doing in the video?,Performing oral skills
src_010__视频重度遮挡,src_010,audio_video_joint_conflict_candidate,video_occlusion,video,severe,headline_candidate_after_review,accept_after_review,answerable,answerable,unrecoverable,route_change_only,answer_relevant,False,"[""audio""]","[[""audio""], [""audio"", ""video""]]",high,needs_human_review,True,[],"人工复看媒体和路线；若同意当前字段，则设 review_status=reviewed, risk_sensitive=false, instance_decision=accept。",What are the people doing in the video?,Performing oral skills
src_010__音频轻度加噪,src_010,audio_video_joint_conflict_candidate,audio_noise,audio,mild,needs_adjudication_partial,adjudicate,answerable,answerable,partially_recoverable,route_change_only,answer_relevant,False,"[""audio""]","[[""audio"", ""video""], [""audio""]]",high,needs_human_review,True,"[""partial_answerability_or_recoverability""]",需要负责人裁决；若不能明确升级为 answerable/unanswerable 且路线清楚，则不进入主测评。,What are the people doing in the video?,Performing oral skills
src_010__音频静音,src_010,audio_video_joint_conflict_candidate,audio_mute,audio,severe,exclude_from_main,reject,exclude_from_main,unanswerable,unrecoverable,makes_unanswerable,answer_relevant,True,[],[],high,needs_human_review,True,"[""exclude_from_main""]",保留作定性分析或丢弃；正式 gold 中设 instance_decision=reject。,What are the people doing in the video?,Performing oral skills
